"date","no2","ozone","pm25","so2"
"2021-02-06",19.1,NA,4.2,1.5
"2021-02-07",28.7,NA,9,3.1
"2021-02-08",51.2,NA,34.6,5.1
"2021-02-09",49.3,NA,16.8,4.6
"2021-02-10",46,NA,15.6,3.2
"2021-02-11",39.5,NA,13.1,2
"2021-02-12",36,NA,9.8,2.1
"2021-02-13",24.9,NA,11,1.9
"2021-02-14",17.6,NA,9,1.9
"2021-02-15",22.6,NA,3.3,1.7
"2021-02-16",41.7,NA,6.4,2.5
"2021-02-17",52,NA,27.9,10.4
"2021-02-18",52.1,NA,54.5,8.3
"2021-02-19",38.9,NA,35.2,2.4
"2021-02-20",60.3,NA,39.9,2.6
"2021-02-21",69.1,NA,NA,2.5
"2021-02-22",27.1,NA,NA,1.9
"2021-02-23",49.1,NA,NA,2.2
"2021-02-24",47.9,NA,NA,3.4
"2021-02-25",53.8,NA,NA,4.3
"2021-02-26",58.9,NA,NA,2.4
"2021-02-27",39,NA,NA,2.3
"2021-02-28",34.4,NA,NA,2
"2021-03-01",48.1,0.039,NA,2.9
"2021-03-02",60.2,0.034,NA,3.7
"2021-03-03",26.2,0.041,NA,3.2
"2021-03-04",33.8,0.036,NA,1.8
"2021-03-05",47.1,0.041,NA,4.3
"2021-03-06",57.4,0.038,NA,4.2
"2021-03-07",50.2,0.039,NA,3.9
"2021-03-08",57.8,0.047,NA,3.1
"2021-03-09",51.9,0.051,NA,6
"2021-03-10",14.6,0.041,NA,2.1
"2021-03-11",15.7,0.038,NA,1.9
"2021-03-12",31.9,0.033,NA,3.1
"2021-03-13",46.7,0.044,NA,3.4
"2021-03-14",40.9,0.04,NA,2.6
"2021-03-15",19.1,0.035,NA,5.3
"2021-03-16",24.3,0.031,NA,2.2
"2021-03-17",24.3,0.032,NA,3
"2021-03-18",9.9,0.036,NA,1.9
"2021-03-19",39.1,0.036,NA,2
"2021-03-20",50.6,0.044,NA,5.9
"2021-03-21",49,0.048,NA,3
"2021-03-22",48.4,0.043,12.9,3.4
"2021-03-23",51,0.029,22.7,3.2
"2021-03-24",21.5,0.031,5.4,2.2
"2021-03-25",18.7,0.027,8.3,2.5
"2021-03-26",32.1,0.026,15,4.1
"2021-03-27",33.1,0.039,18.8,4.9
"2021-03-28",23.6,0.041,4.4,2.2
"2021-03-29",39.1,0.042,8.4,3
"2021-03-30",14.2,0.049,8.6,2.8
"2021-03-31",9.2,0.036,4.6,2.4
"2021-04-01",24.3,0.041,5.3,2.7
"2021-04-02",45,0.042,15.4,4.4
"2021-04-03",50.7,0.057,65.8,2.9
"2021-04-04",53,0.061,68,4.1
"2021-04-05",37.3,0.048,24.7,2.4
"2021-04-06",27.4,0.05,14.9,2.5
"2021-04-07",25.6,0.04,11.4,2.4
"2021-04-08",18.9,0.029,7.5,2.4
"2021-04-09",18.5,0.034,5.7,2.3
"2021-04-10",26.7,0.029,14.4,2.9
"2021-04-11",33.5,0.029,9.9,2.7
"2021-04-12",17.6,0.043,7.6,2.2
"2021-04-13",26.2,0.042,5.1,2.1
"2021-04-14",19,0.031,7.3,2.1
"2021-04-15",33.2,0.033,5.7,2.4
"2021-04-16",28.7,0.029,6.6,2.3
"2021-04-17",40.4,0.041,12.5,2.2
"2021-04-18",41.3,0.048,17.8,4.2
"2021-04-19",16.8,0.033,8.6,2.2
"2021-04-20",20.5,0.039,3.2,2.1
"2021-04-21",43.1,0.042,15.2,2.1
"2021-04-22",40.3,0.052,20.4,2.8
